Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,
2024-03-21,169.82444763183594,146.3900909423828,422.8793640136719,172.82000732421875,175.8892630091755,149.13737364463717,424.30745690999566,178.17999267578125,169.29922879245808,145.6958169152109,420.70278020104655,171.8000030517578,175.45322885093574,148.24475722928597,423.3324019440985,176.38999938964844,106181300,24755600,21296200,73178000
2024-03-22,170.72625732421875,149.53408813476562,422.2588806152344,170.8300018310547,171.48931715990707,150.33744585104463,423.36194516542855,171.1999969482422,168.5262776263353,147.75875293589795,419.62925888508494,166.3000030517578,170.210942813777,147.89760470002383,423.2043902779049,166.69000244140625,71160100,29211800,17648500,75580600
2024-03-25,169.30914306640625,148.83987426757812,416.4677429199219,172.6300048828125,170.3893089389317,149.14733075716612,420.9489800236463,175.24000549316406,167.92176032191367,146.60831765561275,415.2366387798196,168.72999572753906,169.03166954174233,148.71093504276567,418.8117700116772,168.75999450683594,54288300,19229300,18060500,74228600
2024-03-26,168.17942810058594,149.43492126464844,415.2760009765625,177.6699981689453,169.87399750483326,151.011884033954,419.5503905165624,184.25,168.0505957042821,148.7505749332153,414.9805480350016,177.3800048828125,168.4668059986792,148.98861304571224,419.1761300864183,178.5800018310547,57388400,22149100,16725600,113186200
2024-03-27,171.74696350097656,149.63328552246094,415.0593566894531,179.8300018310547,172.0343565405087,150.39697792574609,418.0337234540762,181.91000366210938,168.57582642397568,147.6794327705728,412.67595596490696,176.0,168.87312383270142,149.94074197303146,418.02386500319915,181.41000366210938,60273300,22879200,16705000,81804000
2024-03-28,169.93344116210938,149.69277954101562,414.3601379394531,175.7899932861328,170.67667701496117,150.1886809085542,415.4927478182186,179.57000732421875,168.97218824939392,148.93901491049212,412.784318516005,175.3000030517578,170.2010103030642,149.61344863987313,414.59650033328086,177.4499969482422,65672700,24485400,21871200,77654800
2024-04-01,168.4965362548828,154.2154083251953,418.1518859863281,175.22000122070312,169.70553455748254,154.46335900189007,421.4217055688743,176.75,167.9514935576168,149.37540627332734,415.83740435240986,170.2100067138672,169.6460781034487,149.45475230591467,417.5412631842415,176.1699981689453,46240500,31730800,16316000,81562100
2024-04-02,167.31729125976562,153.29306030273438,415.0692443847656,166.6300048828125,167.81278194588518,153.4319121092737,415.9950371448598,167.69000244140625,166.71279201785276,150.9028115802893,411.52365828826186,163.42999267578125,167.55513223272627,152.24175160554924,413.7593326884334,164.75,49329500,24586000,17912000,116650600
2024-04-03,168.1199493408203,153.65008544921875,414.0942077636719,168.3800048828125,169.14065873561202,153.80877752671594,416.8617275140834,168.82000732421875,167.05960735256843,151.47803493131784,412.75475080677563,163.27999877929688,167.26770493028647,152.34091364414047,413.3850905644336,164.02000427246094,47691700,24705000,16502300,82950100
2024-04-04,167.29745483398438,149.29605102539062,411.56304931640625,171.11000061035156,170.3694875068381,153.501299690698,422.1899488258563,177.19000244140625,167.29745483398438,149.216704997701,411.2577378896696,168.00999450683594,168.7541832986243,152.24170609339924,418.5655553413228,170.07000732421875,53704400,34724700,19370900,123162000
2024-04-05,168.0505828857422,151.24990844726562,419.08758544921875,164.89999389648438,168.85327518664994,152.162365095296,420.062640481163,170.86000061035156,167.4262599311819,148.37368673355488,411.99644280159436,160.50999450683594,168.0604872534819,148.80015462106246,413.660898199363,169.0800018310547,42104800,23459200,16554800,143157600
2024-04-08,166.9307861328125,153.58065795898438,418.171630859375,172.97999572753906,167.67402205960258,153.99721328727458,420.820969557038,174.5,166.72268854116854,151.35901440772807,416.9011228829619,167.7899932861328,167.50555706407098,151.52761905486636,418.7428800514856,169.33999633789062,37425500,20702000,14272400,104423300
2024-04-09,168.13978576660156,155.31631469726562,419.8360290527344,176.8800048828125,168.5460917055098,157.26023958727896,421.2739501766581,179.22000122070312,166.83169838821917,153.91786920573918,415.2464695179833,171.9199981689453,167.17853275073267,154.81048561572567,419.9936139789009,172.91000366210938,42373800,31079500,12496900,102951700
2024-04-10,166.26683044433594,154.86009216308594,416.8616943359375,171.75999450683594,167.5650134431552,155.32624070054823,417.62004361877445,174.92999267578125,165.60287483124418,153.41205338281176,413.3555123677214,170.00999450683594,167.27763553824258,154.92952562487014,415.8078620441207,173.0399932861328,49709300,22838600,16216600,84532400
2024-04-11,173.46133422851562,158.103271484375,421.46112060546875,174.60000610351562,173.87755961907308,158.3710473161656,422.87935502001585,175.8800048828125,166.6433941837476,155.17745655638205,415.97531318643956,168.50999450683594,166.82176353298163,155.6237647430745,419.38303118441615,172.5500030517578,91070300,27166400,17966400,94516000
2024-04-12,174.95774841308594,156.4370574951172,415.522216796875,171.0500030517578,176.7514221146486,158.90665201136972,418.7526324962857,173.80999755859375,172.63885584160187,155.85189745243298,413.424410768199,170.36000061035156,172.68839280877705,156.66518304426685,417.6397096693355,172.33999633789062,101670900,25353700,19253800,64722700
2024-04-15,171.13255310058594,153.590576171875,407.3871765136719,161.47999572753906,175.0370216134587,157.93467710778722,420.36793227353456,170.69000244140625,170.94426424521788,153.32278518896982,407.1803293629701,161.3800048828125,173.77847120218846,157.55778721582507,420.15125672726765,170.24000549316406,73531800,27136500,20273500,100245300
2024-04-16,167.85243225097656,153.13433837890625,408.3128662109375,157.11000061035156,172.19292044576096,154.3740918150493,412.07512727036436,158.19000244140625,166.75244230602124,152.17228850176252,407.47573953105865,153.75,170.20105330053957,152.92606827651122,408.30303781713025,156.74000549316406,73711200,20779500,16765600,97000000
2024-04-17,166.48484802246094,154.1956024169922,405.6143493652344,155.4499969482422,169.11094225529814,155.7924057363185,412.5479364642673,158.3300018310547,166.48484802246094,153.31289841647714,404.127165910336,153.77999877929688,168.08032842085646,154.344366802698,410.9425718180864,157.63999938964844,50901200,21763100,15855500,82439700
2024-04-18,165.53350830078125,154.73114013671875,398.15875244140625,149.92999267578125,167.11908441586118,155.6535245551475,405.66358827577534,152.1999969482422,165.04793714543356,153.3525349324206,397.8436126348303,148.6999969482422,166.5145852231191,154.0666341164594,404.4226257260466,151.25,43122900,19883000,21029900,96098800
2024-04-19,163.51187133789062,152.826904296875,393.08660888671875,147.0500030517578,164.89923874319842,155.07830110358373,399.35048216055003,150.94000244140625,162.60017059709256,151.05158377553497,391.7570104509112,146.22000122070312,164.71096504768357,154.91960900846084,397.922389385747,148.97000122070312,68149400,32615600,30565800,87074500
2024-04-22,164.34434509277344,154.99891662597656,394.8988037109375,142.0500030517578,165.75153680925646,156.3477688326678,396.7602475945419,144.44000244140625,163.28400290071727,152.79711353661722,389.76757007965125,138.8000030517578,164.02723892062434,153.04506419862878,394.0321015888098,140.55999755859375,48116400,26446200,20286900,107097600
